Protocol,count
ARP,58
DNS,860
HTTP,46
"HTTP/XML",22
ICMPv6,126
IGMPv2,24
IGMPv3,12
LLMNR,8
MDNS,292
QUIC,19436
SSDP,282
TCP,8726
"TLSv1.2",1820
"TLSv1.3",724
UDP,240
