Protocol,"Avg_Packet_Size"
TCP,"1180.9014439605776"
QUIC,"1006.4471084585306"
"HTTP/XML","642.9090909090909"
HTTP,"625.5217391304348"
"TLSv1.2","475.910989010989"
"TLSv1.3","446.22651933701655"
SSDP,"379.07092198581563"
UDP,"301.2583333333333"
MDNS,"272.21232876712327"
DNS,"147.35581395348837"
ICMPv6,"128.88888888888889"
LLMNR,75
IGMPv3,61
IGMPv2,52
ARP,"50.206896551724135"
